Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A190FA32a March 25 2015 10_45.obj	96.97	97.36	17.61	30.88	32.89	23.04	23.56	39.72	39.51	51.05	51.48	23.04	23.56	44.58	48.34	58.14	58.28	44.12	43.92	101.33	26.19	18.81	40.40	30.66	28.13	29.60	94.90	12.23	39.78	40.38	144.03	99.37	149.32	34.69	79.75	79.86	25.65	26.93	108.39	106.13	80.72	25.89	26.02	30.66	39.27	97.43	15.08	96.68	106.72	99.92	104.84	81.02	80.63	38.33	38.48	106.75	30.50	49.40	50.92	22.60	23.43	13.85	13.69	39.66	79.11	110.41	42.88	45.26	111.70	111.19	114.76	104.23	79.90	103.00	133.57	12.59	10.78	28.80	25.54	75.56	76.49	89.09	170.64	62.50	62.65	74.67	74.67	81.51	37.29	36.04	42.23	41.97	41.55	92.55	110.41	17.95	17.91	31.18	31.63	39.19	40.67	99.37	79.11	106.72	39.27	39.66	23.54	25.54	38.51	30.88	32.89	10.78	22.90	93.81	62.77	30.16	69.57	62.65	38.48	23.56	30.66	99.03	68.38	58.28	29.60	35.13	47.45	45.06	47.40	49.47	52.69	50.82	55.86	13.05	24.94	17.32	13.91	0.78	
A191FA43 March 25 2015 12_15.obj	101.52	82.60	12.61	33.04	31.37	19.09	20.59	36.88	37.23	42.71	43.41	19.09	19.88	46.85	48.40	53.96	52.93	39.99	40.43	102.82	24.06	19.43	39.92	31.14	29.71	27.57	96.81	14.92	33.49	34.02	146.63	99.94	139.20	32.34	70.00	80.63	27.36	25.43	101.59	99.29	91.15	26.25	24.05	31.14	38.19	101.22	7.15	97.62	103.11	102.68	101.60	71.96	71.27	36.33	36.38	103.23	10.50	42.46	42.82	19.19	20.01	12.77	12.77	37.25	89.83	101.13	44.34	47.30	101.73	101.66	112.80	101.96	75.31	101.25	125.00	11.02	10.74	26.90	26.44	69.95	70.72	102.85	164.29	52.43	53.93	64.92	64.92	88.64	33.50	34.04	38.23	38.58	39.02	100.10	101.13	16.93	15.98	32.43	30.84	40.33	40.29	99.94	89.83	103.11	38.19	37.25	21.54	26.44	40.17	33.04	31.37	10.74	20.90	103.19	57.82	14.30	64.62	53.93	36.38	19.88	31.14	88.36	57.22	52.93	27.57	33.18	48.00	52.05	48.68	52.67	52.69	51.91	51.16	18.53	18.85	15.98	13.18	0.52	
A192FA28 April 15 2015 10_12.obj	100.03	94.40	20.10	32.20	32.24	25.32	25.48	41.99	42.20	54.13	54.85	25.33	25.48	48.32	49.12	57.29	56.26	42.21	42.46	98.19	23.92	19.39	39.45	31.43	34.57	33.42	95.74	15.65	41.74	41.11	150.13	98.25	145.68	33.76	74.30	84.28	28.05	27.22	107.11	105.97	79.86	27.41	26.53	31.43	39.69	102.72	13.26	95.79	117.98	113.20	117.98	75.10	74.80	39.96	40.38	117.98	26.50	53.00	53.97	25.59	25.62	9.31	9.31	37.63	80.39	105.73	46.26	47.17	107.37	107.42	115.25	115.28	75.85	105.09	131.76	12.44	13.25	25.31	24.59	73.48	75.07	93.52	167.53	63.82	66.83	69.22	69.22	84.65	39.05	39.13	40.82	40.76	44.05	95.78	105.73	17.94	17.29	34.06	35.02	41.78	42.50	98.25	80.39	117.98	39.69	37.63	22.63	24.59	41.17	32.20	32.24	13.25	20.90	98.71	62.04	26.51	68.84	66.83	40.38	25.48	31.43	96.43	64.99	56.26	33.42	32.90	51.31	44.42	48.70	51.20	59.84	58.27	59.67	11.33	21.80	16.22	14.59	1.69	
A194FA34b April 16 2015 01_58.obj	88.90	100.93	16.44	35.30	28.95	24.74	24.90	41.51	41.29	50.59	49.86	24.62	24.90	49.20	51.45	56.28	56.74	45.59	45.13	86.38	25.62	19.79	47.30	27.81	25.12	25.88	87.97	15.09	39.80	39.14	147.00	89.06	149.66	34.64	84.50	70.76	23.25	25.35	112.93	109.81	75.74	23.46	24.57	27.81	38.24	92.04	13.66	86.89	95.45	93.91	94.46	85.38	85.47	38.94	38.86	95.47	27.50	49.91	49.18	23.88	24.62	12.67	12.45	41.70	75.20	112.31	48.27	52.63	113.02	112.81	110.87	93.30	84.65	101.22	138.37	14.37	14.39	23.90	27.48	76.31	76.70	84.62	172.94	57.56	56.66	79.42	79.42	80.24	37.69	36.59	45.25	44.59	44.14	86.21	112.31	15.41	16.72	25.73	27.15	34.57	36.19	89.06	75.20	95.45	38.24	41.70	20.50	27.48	40.19	35.30	28.95	14.39	19.20	88.15	63.15	27.31	69.95	56.66	38.86	24.90	27.81	102.70	74.89	56.74	25.88	34.19	44.90	41.23	40.69	48.09	50.33	47.17	48.23	11.37	16.83	17.88	12.75	0.50	
A195FR23 April 16 2015 02_05.obj	87.17	90.27	17.82	32.25	29.46	24.48	24.70	37.73	51.18	45.99	52.87	24.49	24.70	39.14	41.40	52.78	53.56	40.77	41.76	88.16	18.50	18.53	37.70	27.35	27.03	25.78	82.18	11.98	37.62	37.88	140.44	86.46	139.15	31.21	72.45	70.14	22.36	22.77	104.81	102.99	69.10	22.10	22.63	27.35	37.63	91.19	12.57	86.50	100.53	97.74	99.18	73.25	73.57	35.63	35.65	100.53	25.00	44.79	45.40	22.88	24.29	11.56	11.48	37.19	73.83	99.81	39.07	40.22	100.73	100.41	104.63	96.38	73.15	95.83	127.88	12.23	10.93	22.04	21.58	68.40	69.29	82.75	164.73	53.39	54.85	67.37	67.37	73.71	34.68	35.01	39.50	40.60	36.21	84.09	99.81	15.09	15.74	28.84	28.87	34.35	35.79	86.46	73.83	100.53	37.63	37.19	16.62	21.58	40.50	32.25	29.46	10.93	16.20	88.06	57.16	25.14	63.96	54.85	35.65	24.70	27.35	90.65	63.30	53.56	25.78	31.71	44.06	39.96	43.93	43.14	50.15	46.98	53.50	9.54	18.49	14.63	12.44	0.61	
A196FA50 April 16 2015 02_12.obj	95.90	97.41	19.41	25.93	30.40	25.47	25.28	37.76	38.66	44.50	47.25	25.48	25.28	48.02	44.47	57.24	56.64	41.89	44.23	93.67	23.84	19.08	37.80	32.09	31.56	29.21	89.56	13.33	37.86	37.94	144.18	93.12	148.65	34.01	78.00	84.74	25.07	26.21	109.38	108.74	78.21	24.86	25.73	32.09	37.06	96.70	13.05	89.07	101.29	99.28	101.23	79.10	78.84	37.61	36.71	101.29	26.00	44.70	45.32	24.05	25.21	12.38	12.18	37.58	77.63	110.09	45.27	42.73	111.97	111.06	113.51	101.29	79.89	102.14	134.64	11.57	12.54	26.00	27.31	73.08	74.71	86.71	172.41	57.59	57.65	72.92	72.92	75.54	36.20	35.51	42.63	41.58	41.42	90.09	110.09	15.93	16.16	33.57	32.25	41.27	43.47	93.12	77.63	101.29	37.06	37.58	19.40	27.31	41.33	25.93	30.40	12.54	21.40	92.73	64.33	26.11	71.13	57.65	36.71	25.28	32.09	100.51	68.42	56.64	29.21	33.84	48.78	41.25	48.25	47.54	50.77	50.47	50.78	12.68	25.99	17.89	13.39	0.97	
A197FA34 April 16 2015 02_26.obj	111.57	88.13	16.84	35.89	35.00	28.24	28.08	43.56	42.33	51.72	51.65	28.28	28.08	46.66	48.29	53.27	52.47	38.60	38.92	108.24	26.09	18.44	40.63	28.98	31.19	32.41	106.49	13.78	41.90	41.44	153.72	110.96	143.94	34.53	71.28	78.04	27.72	28.13	106.61	105.55	89.64	26.62	27.69	28.98	42.32	108.04	7.66	101.61	112.74	111.86	110.80	72.64	72.52	41.92	40.67	112.73	15.50	50.71	50.67	25.40	26.05	14.60	14.05	39.96	93.86	100.27	44.02	46.18	101.43	101.11	121.28	111.96	75.60	108.29	127.78	11.93	10.86	32.32	31.44	70.92	69.95	105.58	165.80	61.97	62.48	66.20	66.20	88.05	40.54	38.87	39.61	39.39	40.86	107.47	100.27	16.51	18.20	33.47	34.16	37.73	40.31	110.96	93.86	112.74	42.32	39.96	21.90	31.44	47.70	35.89	35.00	10.86	22.00	110.71	57.85	15.33	64.65	62.48	40.67	28.08	28.98	91.06	62.08	52.47	32.41	30.85	57.28	50.13	56.86	54.55	56.70	58.11	54.59	12.14	19.62	18.20	13.87	0.84	
A198FA19b April 16 2015 03_41.obj	81.26	90.65	16.13	37.31	26.84	26.95	27.31	37.21	37.53	41.91	43.27	27.00	27.31	43.86	45.56	55.30	65.01	43.18	52.69	82.56	23.42	19.19	40.45	25.74	24.02	24.71	81.69	14.41	34.65	36.89	133.17	83.68	142.18	31.98	74.52	65.12	23.35	25.73	102.33	101.86	67.58	22.82	23.76	25.74	39.93	85.25	12.62	85.87	93.49	91.36	91.59	75.81	76.23	35.32	35.91	93.50	25.50	40.98	42.84	24.88	26.40	14.04	11.55	37.70	68.76	100.26	35.35	38.25	101.02	101.09	101.90	90.84	74.68	98.68	127.19	10.72	11.16	24.08	25.99	72.12	80.94	75.94	164.73	49.19	49.69	69.44	69.44	70.52	33.31	34.10	39.22	38.44	31.61	78.28	100.26	16.31	16.67	26.12	26.81	31.81	33.32	83.68	68.76	93.49	39.93	37.70	18.28	25.99	42.35	37.31	26.84	11.16	16.70	82.25	56.54	25.24	63.34	49.69	35.91	27.31	25.74	91.11	65.37	65.01	24.71	33.85	37.61	40.61	41.83	39.33	46.34	44.34	49.09	9.61	19.69	18.00	12.20	0.83	
A200FA21 April 16 2015 03_10.obj	81.34	96.08	20.56	30.31	30.55	23.99	26.09	38.60	39.05	49.35	50.10	23.99	25.22	41.24	40.93	51.91	51.91	40.36	41.73	90.74	22.65	19.44	40.33	30.45	27.18	25.65	87.24	13.87	38.23	37.82	143.97	89.62	144.29	32.10	75.52	76.01	23.26	23.42	109.55	106.74	68.83	22.87	23.10	30.45	38.40	89.70	14.97	86.64	106.41	96.67	104.08	76.64	76.27	38.29	37.78	106.41	29.50	49.27	49.73	24.22	25.52	11.12	11.12	36.63	67.13	105.97	37.93	39.33	107.43	107.14	108.35	105.35	75.68	96.47	131.95	12.40	10.81	25.21	22.85	68.77	70.02	75.54	166.77	59.55	59.42	70.44	70.44	75.27	37.20	36.07	41.02	40.57	40.19	77.88	105.97	16.15	16.53	28.55	28.54	36.64	39.37	89.62	67.13	106.41	38.40	36.63	19.18	22.85	39.31	30.31	30.55	10.81	20.30	81.88	60.66	29.95	67.46	59.42	37.78	25.22	30.45	94.85	64.40	51.91	25.65	31.94	39.75	38.07	39.52	41.68	54.60	52.39	53.96	9.89	26.77	16.02	12.02	1.17	
A201FA19 April 16 2015 03_50.obj	89.38	98.63	20.00	32.58	29.50	29.21	31.44	40.09	40.71	48.18	48.42	29.21	29.89	38.86	43.73	57.91	56.55	44.99	45.16	88.37	23.34	18.93	36.72	30.17	25.11	25.52	83.57	10.91	39.38	39.25	143.34	87.84	147.51	32.16	78.64	77.05	22.75	22.98	111.82	109.53	69.34	22.68	22.38	30.17	39.94	93.23	13.66	84.97	106.15	101.28	105.76	79.82	79.62	37.27	37.64	106.15	27.50	46.41	46.78	27.48	27.74	14.84	14.42	36.53	69.80	108.81	37.65	40.95	109.75	110.02	105.25	103.24	79.54	95.25	135.53	10.61	10.52	23.85	23.71	72.80	73.65	83.01	174.32	58.29	58.68	73.56	73.56	74.55	36.06	35.56	43.71	42.13	36.20	86.02	108.81	16.79	17.02	29.79	30.08	37.15	39.89	87.84	69.80	106.15	39.94	36.53	19.96	23.71	42.64	32.58	29.50	10.52	16.90	89.50	62.66	27.32	69.46	58.68	37.64	29.89	30.17	99.13	68.95	56.55	25.52	33.11	44.73	41.25	42.27	46.98	55.23	47.62	58.48	10.18	21.99	15.91	12.44	1.21	
A202FA21 April 20 2015 12_37.obj	94.73	91.06	16.81	29.91	35.10	26.41	27.26	41.13	40.21	49.24	48.69	26.41	26.30	44.79	42.90	55.61	54.23	42.09	41.36	98.44	21.31	19.22	36.32	26.68	31.16	28.81	97.21	10.76	39.80	39.12	144.37	101.04	142.96	33.58	74.25	68.01	26.26	26.23	109.04	109.08	81.75	26.86	25.78	26.68	42.63	96.01	11.01	92.98	106.47	106.04	106.44	75.15	74.90	39.31	38.78	106.47	22.00	47.90	47.60	25.86	26.62	12.15	9.45	36.47	84.74	100.92	43.90	44.06	101.76	101.79	115.76	104.81	75.72	100.71	132.16	11.48	11.08	24.75	22.55	70.73	69.55	90.91	170.21	59.03	58.09	69.17	69.17	83.14	38.35	37.65	40.06	40.08	42.00	91.51	100.92	17.02	16.99	34.32	33.12	33.50	34.51	101.04	84.74	106.47	42.63	36.47	17.95	22.55	43.67	29.91	35.10	11.08	19.90	95.22	57.18	22.02	63.98	58.09	38.78	26.30	26.68	91.47	64.79	54.23	28.81	31.17	45.13	46.33	47.05	47.58	54.59	49.52	56.91	9.87	18.23	16.66	13.12	0.87	
A204FA20a April 20 2015 12_29.obj	81.56	85.28	19.44	30.15	27.22	26.38	27.90	37.02	36.77	43.31	44.53	26.50	27.90	44.05	40.78	53.22	53.21	41.07	41.86	82.38	24.91	19.34	38.69	29.04	29.10	26.93	78.22	12.43	36.29	37.86	140.60	80.44	135.35	31.51	65.84	71.89	24.62	23.90	97.68	95.78	64.60	23.85	24.39	29.04	39.44	85.32	13.36	83.90	98.49	94.15	97.40	67.40	66.87	35.75	37.26	98.49	26.50	42.36	43.14	25.17	26.50	11.93	9.24	35.95	65.81	94.89	38.52	38.83	96.13	96.03	102.33	96.63	66.58	96.11	120.24	11.17	9.72	23.24	23.13	68.69	69.85	76.30	157.04	53.19	53.54	60.76	60.76	71.79	35.26	35.02	35.89	36.29	33.66	78.59	94.89	16.73	16.14	28.91	29.32	35.34	36.55	80.44	65.81	98.49	39.44	35.95	20.48	23.13	36.86	30.15	27.22	9.72	17.00	82.42	56.85	26.73	63.65	53.54	37.26	27.90	29.04	87.91	58.86	53.21	26.93	31.82	39.83	38.70	40.22	41.23	48.24	49.39	49.05	9.60	22.93	16.64	12.17	1.14	
A205FA20 April 20 2015 12_46.obj	85.88	95.05	19.88	32.15	30.80	25.20	26.07	38.99	29.10	47.37	36.47	25.25	26.07	43.78	43.91	61.36	55.00	41.70	43.03	91.43	20.73	19.07	29.70	29.94	28.45	27.60	91.24	12.74	37.05	35.92	149.75	93.34	143.01	32.77	75.17	76.40	23.74	24.37	108.60	108.38	73.33	23.40	24.04	29.94	37.90	90.40	14.02	86.00	102.59	96.22	101.33	76.06	75.83	37.91	35.90	102.58	28.00	45.94	45.55	24.28	25.88	12.63	12.56	36.33	69.36	105.11	47.86	43.54	106.49	106.30	109.13	98.58	75.77	95.87	132.53	7.74	9.76	27.35	24.56	70.73	68.56	79.50	175.59	56.68	58.00	70.09	70.09	79.68	36.63	34.54	40.30	40.74	39.64	82.41	105.11	16.32	16.71	30.25	29.72	37.09	39.31	93.34	69.36	102.59	37.90	36.33	17.71	24.56	42.17	32.15	30.80	9.76	19.80	86.14	60.72	28.05	67.52	58.00	35.90	26.07	29.94	95.36	65.42	55.00	27.60	31.78	44.28	38.07	41.28	44.47	52.68	48.89	53.64	10.06	22.22	16.45	13.16	1.19	
A206FA21 April 20 2015 12_52.obj	82.56	94.41	16.19	29.11	30.39	26.20	26.35	36.61	37.12	43.03	43.33	26.17	26.35	36.37	35.85	56.32	57.15	45.60	46.02	80.14	23.80	19.16	35.64	23.76	21.53	22.90	79.61	13.77	36.22	36.46	131.61	81.74	144.96	31.83	78.22	63.45	22.12	22.37	107.48	106.98	64.79	21.92	22.06	23.76	40.79	88.09	11.63	79.60	95.93	95.30	94.34	79.45	78.97	35.89	35.75	95.93	23.00	42.33	42.35	24.67	25.88	12.20	12.16	38.25	69.96	101.98	34.49	35.59	103.32	102.83	103.51	93.19	78.38	94.19	130.80	12.42	11.33	25.33	25.96	72.68	73.05	78.42	168.14	51.73	52.55	73.14	73.14	70.76	34.47	34.30	42.06	41.93	35.87	80.47	101.98	16.14	15.79	26.86	25.19	30.61	32.84	81.74	69.96	95.93	40.79	38.25	16.21	25.96	43.39	29.11	30.39	11.33	17.70	86.28	56.23	23.26	63.03	52.55	35.75	26.35	23.76	92.64	68.88	57.15	22.90	32.04	39.16	41.24	41.82	40.62	46.34	43.78	52.10	7.57	17.35	19.03	11.17	0.85	
A207FA19 April 20 2015 12_33.obj	93.01	95.31	18.29	36.27	30.98	26.94	27.32	41.52	41.84	52.38	53.35	26.98	27.32	47.75	46.89	56.96	54.01	43.50	43.71	95.70	24.80	19.77	45.16	28.48	29.94	28.46	90.77	12.96	41.09	40.81	140.52	94.09	145.10	34.39	77.01	75.56	24.78	24.48	107.30	105.29	78.57	24.76	24.09	28.48	41.40	97.23	12.67	93.53	111.40	107.42	110.69	78.29	77.92	40.88	39.72	111.40	25.50	52.05	52.54	25.87	26.79	12.30	12.26	38.93	79.84	105.49	42.96	41.80	106.60	106.63	114.05	106.02	78.01	103.59	132.01	12.19	12.72	22.68	23.82	74.69	74.70	89.24	168.60	62.79	64.57	71.93	71.93	79.94	39.92	39.55	41.12	41.76	41.51	90.28	105.49	16.04	16.37	31.74	30.52	36.73	38.82	94.09	79.84	111.40	41.40	38.93	22.96	23.82	41.35	36.27	30.98	12.72	19.50	93.16	60.36	25.33	67.16	64.57	39.72	27.32	28.48	96.12	67.65	54.01	28.46	33.06	47.71	42.50	45.94	46.94	55.83	52.96	58.40	10.18	19.52	15.41	13.01	1.14	
A209FA25 April 20 2015 01_08.obj	90.82	94.37	16.82	27.74	30.89	24.62	27.11	38.13	37.95	45.60	45.46	24.62	25.73	42.53	41.05	54.42	55.03	41.36	42.59	88.74	22.98	19.01	36.56	28.25	28.38	25.79	85.74	13.40	37.73	38.83	130.94	88.99	141.82	33.16	77.56	73.60	25.08	23.65	105.19	104.08	74.13	24.45	23.83	28.25	35.56	91.89	12.85	85.69	99.34	96.93	98.76	78.39	78.67	37.02	36.81	99.34	25.50	45.11	45.04	23.79	24.28	11.87	11.75	38.92	72.97	105.81	40.75	41.99	107.16	106.94	103.95	98.29	78.36	93.89	129.02	9.89	7.57	24.81	25.36	69.39	70.43	86.56	165.53	55.67	55.56	72.48	72.48	78.94	35.73	35.82	41.88	41.57	38.04	87.88	105.81	15.88	15.20	28.25	27.96	35.17	38.43	88.99	72.97	99.34	35.56	38.92	19.03	25.36	36.77	27.74	30.89	7.57	19.50	89.82	60.49	25.71	67.29	55.56	36.81	25.73	28.25	96.62	68.36	55.03	25.79	32.43	45.31	42.51	43.58	47.12	50.14	47.49	51.79	11.44	22.28	17.10	12.76	1.13	
A210FL29b April 20 2015 01_03.obj	86.98	82.29	16.38	23.53	29.20	24.14	22.08	37.98	38.30	45.25	44.45	22.82	22.08	39.10	43.32	51.73	49.90	39.18	38.73	86.22	20.39	18.79	35.46	27.24	26.48	25.82	83.03	12.63	37.00	37.58	135.82	85.00	131.21	32.90	65.91	70.23	25.07	24.08	99.54	96.57	69.43	23.58	24.03	27.24	37.49	88.48	11.90	83.18	93.91	92.49	93.53	67.88	68.10	38.04	38.73	93.91	24.00	45.50	44.99	23.04	22.54	10.50	10.50	36.24	73.91	93.15	38.73	40.11	93.84	93.92	103.67	92.49	78.20	93.12	120.06	8.35	11.43	22.29	20.54	64.61	65.81	80.37	157.57	53.85	53.57	60.83	60.83	72.37	35.24	35.58	35.31	34.88	37.70	81.82	93.15	15.60	16.15	30.07	29.88	34.04	36.19	85.00	73.91	93.91	37.49	36.24	18.13	20.54	38.01	23.53	29.20	11.43	18.00	86.18	53.18	23.80	59.98	53.57	38.73	22.08	27.24	82.65	55.41	49.90	25.82	29.76	41.79	39.97	42.49	44.40	48.88	44.93	48.93	10.85	20.30	14.69	12.39	0.78	
A212FA34a April 20 2015 02_04.obj	88.50	92.18	20.08	28.75	31.46	25.87	26.36	40.68	35.71	49.21	44.98	26.05	26.36	40.21	39.55	55.46	53.04	42.19	41.79	86.21	25.28	19.44	37.36	30.73	27.51	24.52	85.56	13.67	38.87	39.48	143.29	88.65	140.28	33.93	72.10	78.73	26.07	23.81	104.81	102.25	74.50	24.06	23.44	30.73	37.29	93.58	14.40	85.10	105.35	99.60	104.44	73.68	73.91	35.89	35.61	105.35	28.50	45.14	45.40	24.78	25.15	11.58	11.54	38.75	74.56	102.83	39.79	38.81	103.93	103.69	104.39	101.36	77.10	98.34	127.04	10.74	11.05	27.50	25.67	69.52	70.10	80.98	164.68	58.74	58.03	67.02	67.02	78.85	35.90	35.02	42.46	40.06	37.89	83.07	102.83	16.78	17.33	27.42	27.21	38.64	40.10	88.65	74.56	105.35	37.29	38.75	19.63	25.67	38.35	28.75	31.46	11.05	18.40	87.84	60.37	28.80	67.17	58.03	35.61	26.36	30.73	93.68	62.96	53.04	24.52	31.84	41.12	41.88	41.68	46.69	53.32	50.79	54.51	10.65	21.95	17.68	12.21	0.86	
A213FA20a April 20 2015 01_51.obj	100.61	88.54	17.33	29.99	34.95	26.75	26.60	42.19	41.18	52.58	53.17	26.63	26.60	46.08	45.77	53.82	54.22	39.48	41.74	103.50	27.66	20.44	41.22	28.72	33.79	30.14	103.58	17.09	41.21	41.27	141.17	105.74	135.79	34.28	71.21	76.14	26.14	26.81	100.63	100.54	89.85	26.04	26.43	28.72	39.92	101.42	12.32	97.65	109.72	107.79	109.62	72.30	72.22	40.65	40.59	109.73	24.50	51.50	53.04	25.90	26.92	11.57	8.82	38.60	90.61	99.93	46.08	44.98	100.69	100.50	121.03	105.83	72.49	107.48	123.41	11.70	11.82	26.82	29.08	71.04	71.29	98.21	158.77	62.81	63.66	66.13	66.13	87.55	40.04	39.69	38.94	39.46	40.17	99.50	99.93	16.42	17.45	35.95	33.57	38.06	38.08	105.74	90.61	109.72	39.92	38.60	22.20	29.08	41.46	29.99	34.95	11.82	24.40	100.66	58.11	24.65	64.91	63.66	40.59	26.60	28.72	91.11	62.39	54.22	30.14	31.93	51.21	48.23	51.65	48.86	53.96	52.09	57.58	11.39	18.65	19.12	13.44	0.57	
A214FA22 April 20 2015 01_57.obj	87.10	94.81	18.18	35.65	29.39	25.54	26.66	38.07	37.68	45.68	45.68	25.55	26.66	44.60	48.54	56.98	56.39	43.03	41.12	90.86	24.65	19.90	39.95	28.10	28.33	29.12	86.90	12.61	36.59	37.98	140.67	90.68	144.23	32.53	76.63	72.74	25.82	25.55	107.21	102.08	68.94	25.23	24.57	28.10	41.53	89.77	13.14	87.82	101.81	97.10	100.30	77.41	77.81	36.11	36.44	101.80	26.50	44.89	44.94	24.33	25.14	12.11	11.98	38.89	68.93	104.73	40.07	54.15	106.22	105.98	105.59	97.25	77.20	97.07	130.74	10.25	8.44	23.70	23.50	72.20	73.50	82.12	167.57	55.25	56.78	71.55	71.55	75.17	35.00	35.22	41.93	41.61	38.42	84.45	104.73	16.12	15.09	28.89	30.19	35.36	37.38	90.68	68.93	101.81	41.53	38.89	24.59	23.50	38.71	35.65	29.39	8.44	18.30	87.58	59.83	26.29	66.63	56.78	36.44	26.66	28.10	95.42	67.32	56.39	29.12	36.03	44.42	39.97	41.96	45.04	49.52	48.27	53.50	9.92	20.45	15.81	14.96	1.25	
